ID,Name,Date,Condition,GraphPreset
P001,unknown,2026-03-17,C2,cx_hard
P002,unknown,2026-03-17,C2,easy
P003,unknown,2026-03-17,C3,easy
P004,unknown,2026-03-17,C1,easy
P005,unknown,2026-03-17,C1,easy
P006,unknown,2026-03-17,C1,cx_easy
P007,unknown,2026-03-17,C2,cx_easy
P008,unknown,2026-03-17,C2,cx_medium
P009,unknown,2026-03-17,C4,cx_medium
P010,unknown,2026-03-17,C2,cx_medium
P011,unknown,2026-03-17,C3,cx_medium
P012,unknown,2026-03-17,C1,cx_medium
P013,unknown,2026-03-17,C2,cx_medium
P014,unknown,2026-03-17,C3,easy
P015,unknown,2026-03-17,C1,easy
P016,unknown,2026-03-19,C1,easy
P017,unknown,2026-03-19,C4,cx_easy
P018,unknown,2026-03-19,C4,cx_easy
P019,unknown,2026-03-19,C1,cx_easy
P020,unknown,2026-03-19,C1,cx_easy
P021,unknown,2026-03-19,C4,cx_easy
P022,unknown,2026-03-19,C1,cx_easy
P023,unknown,2026-03-19,C1,cx_medium
P024,unknown,2026-03-19,C1,cx_medium
P025,unknown,2026-03-19,C1,cx_medium
P026,unknown,2026-03-19,C2,cx_medium
P027,unknown,2026-03-19,C5,cx_medium
P028,unknown,2026-03-19,C6,cx_medium
P029,unknown,2026-03-19,C1,cx_hard
P030,unknown,2026-03-19,C1,cx_easy_plus
P031,unknown,2026-03-19,C1,cx_hard_free
P032,unknown,2026-03-19,C1,cx_expert
P033,unknown,2026-03-19,C1,cx_gauntlet
P034,unknown,2026-03-26,C1,cx_easy_8
P035,unknown,2026-03-26,C1,cx_easy_8
P036,unknown,2026-03-30,C1,cx_easy_8
P037,unknown,2026-03-30,C1,cx_easy_8
P038,unknown,2026-03-30,C1,cx_easy_8
P039,unknown,2026-03-30,C2,cx_easy_8
P040,unknown,2026-03-30,C4,cx_easy_8
P041,unknown,2026-03-30,C4,cx_easy_8
P042,unknown,2026-03-30,C4,cx_easy_8
P043,unknown,2026-03-30,C4,cx_easy_8
P044,unknown,2026-03-30,C4,cx_easy_8
P045,unknown,2026-03-30,C4,cx_easy_8
P046,unknown,2026-03-30,C4,cx_easy_8
P047,unknown,2026-03-31,C4,cx_easy_8
P048,unknown,2026-03-31,C4,cx_easy_8
P049,unknown,2026-03-31,C4,cx_easy_8
P050,unknown,2026-03-31,C4,cx_easy_8
P051,unknown,2026-03-31,C4,cx_easy_8
P052,unknown,2026-03-31,C4,cx_easy_8
P053,unknown,2026-03-31,C4,cx_easy_8
P054,unknown,2026-03-31,C1,cx_easy_8
